"ID","p_state1","p_state2","p_state3"
"F1.0",0.20980587356894,0.711548033847685,0.0786460925833748
"F1.1",0.161731774073153,0.572032843991043,0.266235381935805
"F10.0",0.605584642233857,0.350037397157816,0.0443779606083271
"F10.1",0.111470515053496,0.537447126150784,0.35108235879572
"F11.0",0.0196762141967621,0.804234122042341,0.176089663760897
"F11.1",0.0796217964667828,0.787260512565315,0.133117690967902
"F12.0",0.17339312406577,0.801694070752367,0.0249128051818635
"F12.1",0.0206519034585718,0.649664095546156,0.329684000995272
"F13.0",0.0102117061021171,0.555666251556662,0.43412204234122
"F13.1",0.0515181682429069,0.773768043802887,0.174713787954206
"F14.0",0.107400946922502,0.534762023423872,0.357837029653626
"F14.1",0.0510077133615327,0.7825329684001,0.166459318238368
"F15.0",0,0.880199252801993,0.119800747198007
"F15.1",0.0306046280169196,0.769594426474247,0.199800945508833
"F16.0",0.340473225404732,0.436612702366127,0.222914072229141
"F16.1",0.483951231649664,0.47524259766111,0.0408061706892262
"F17.0",0.00870863398855437,0.515799950236377,0.475491415775068
"F17.1",0.174421497885046,0.57253048021896,0.253048021895994
"F18.0",0.512316496640955,0.477233142572779,0.0104503607862652
"F18.1",0.482209504851953,0.511072406071162,0.0067180890768848
"F19.0",0.307041552625031,0.407315252550386,0.285643194824583
"F19.1",0.0699178900223936,0.321224185120677,0.60885792485693
"F2.0",0.061458074147798,0.686737994526001,0.251803931326201
"F2.1",0.274446379696442,0.607862652401095,0.117690967902463
"F20.0",0.418512067678527,0.490669320726549,0.0908186115949241
"F20.1",0.218213485941777,0.72132371236626,0.0604628016919632
"F21.0",0.468773326698184,0.519283403831799,0.0119432694700174
"F21.1",0.258273202289127,0.590445384423986,0.151281413286887
"F22.0",0.153769594426474,0.566310027369993,0.279920378203533
"F22.1",0.151643426294821,0.586155378486056,0.262201195219123
"F23.0",0.133864145309779,0.494650410549888,0.371485444140333
"F23.1",0.00870863398855437,0.557352575267479,0.433938790743966
"F24.0",0,0.377208260761383,0.622791739238617
"F24.1",0.0037332005973121,0.195121951219512,0.801144848183176
"F25.1",0.298830554864394,0.601642199552127,0.0995272455834785
"F26.1",0.59915401841254,0.363025628265738,0.0378203533217218
"F27.1",0.353321721821349,0.633490918138841,0.0131873600398109
"F28.1",0.00248818113958696,0.676038815625778,0.321473003234635
"F29.1",0.0905697934809654,0.719333167454591,0.190097039064444
"F3.0",0.162975864642946,0.383179895496392,0.453844239860662
"F3.1",0.0485195322219458,0.741975615824832,0.209504851953222
"F30.1",0.220950485195322,0.474247325205275,0.304802189599403
"F31.1",0.00273699925354566,0.609604379198806,0.387658621547649
"F32.1",0.354565812391142,0.466533963672555,0.178900223936303
"F33.1",0.216720577258024,0.706394625528738,0.0768847972132371
"F34.1",0.107240607116198,0.792485692958447,0.100273699925355
"F35.1",0.0238865389400348,0.916148295595919,0.0599651654640458
"F36.1",0.110475242597661,0.847225678029361,0.0422990793729784
"F37.1",0.0485316077650572,0.825783972125436,0.125684420109507
"F38.1",0.127394874346852,0.789002239363026,0.0836028862901219
"F39.1",0.196815128141329,0.788504603135108,0.0146802687235631
"F4.0",0.271279243404679,0.372324539571926,0.356396217023395
"F4.1",0.130380691714357,0.545906942025379,0.323712366260264
"F40.1",0.401343617815377,0.521771584971386,0.0768847972132371
"F41.1",0.185305105853051,0.484433374844334,0.330261519302615
"F42.1",0.087920298879203,0.173349937733499,0.738729763387298
"F43.1",0.416438356164384,0.526525529265255,0.0570361145703611
"F44.1",0.666002490660025,0.300871731008717,0.0331257783312578
"F45.1",0.145454545454545,0.462266500622665,0.39227895392279
"F46.1",0.222166874221669,0.608219178082192,0.169613947696139
"F47.1",0.281335659107899,0.65686518813855,0.061799152753551
"F48.1",0.577211394302849,0.371814092953523,0.0509745127436282
"F5.0",0.28695868591339,0.64211050273768,0.0709308113489298
"F5.1",0.196815128141329,0.677034088081612,0.126150783777059
"F6.0",0.0291117193331675,0.813635232644937,0.157253048021896
"F6.1",0.0743966160736502,0.681761632246828,0.243841751679522
"F7.0",0.042547897486937,0.651903458571784,0.305548643941279
"F7.1",0.0512565314754914,0.605872107489425,0.342871361035083
"F8.0",0.0350833540681762,0.774570788753421,0.190345857178403
"F8.1",0.0154267230654392,0.699676536451854,0.284896740482707
"F9.0",0.210513203786746,0.720229197807673,0.0692575984055805
"F9.1",0,0.286389649166459,0.713610350833541
